,Estimate,Std.err.,t-ratio(0),Rob.std.err.,Rob.t-ratio(0)
b_walk,-1.842140188,0.335719354,-5.487143258,0.860526899,-2.140711917
b_bicycle,-1.512698805,0.291831145,-5.183472813,0.882218904,-1.714652451
b_public_trans,-6.598825219,0.518787516,-12.71970703,1.370695704,-4.814216023
b_car,0,NA,NA,NA,NA
b_dist_walk,-1.846710402,0.053337709,-34.62297916,0.195171488,-9.461988629
b_dist_bicycle,-1.020252377,0.03733038,-27.33035041,0.090530526,-11.26970563
b_dist_publictrans,-0.506076793,0.059399565,-8.519873659,0.133845991,-3.781038118
b_dist_car,0,NA,NA,NA,NA
b_time_w,0.712061017,0.065245556,10.91355581,0.165257665,4.308792682
b_time_b,0.39363963,0.05429201,7.250415516,0.130699742,3.011785835
b_time_p,2.549944504,0.11000159,23.18097866,0.212245605,12.01412158
b_time_c,0,NA,NA,NA,NA
lambda_w,0.060582795,0.176886424,0.342495447,0.473436693,0.127963877
lambda_b,0.444173562,0.153521642,2.893230931,0.489050173,0.908237205
lambda_p,-1.225062728,0.27337384,-4.481272703,0.831139206,-1.47395613
gamma_age_50,1.023239411,0.055420538,18.46318065,0.035472232,28.84620848
gamma_male,1.037821113,0.053551168,19.37999022,0.034575044,30.01647982
gamma_nonwestern,1.002510713,0.115521364,8.678141271,0.109022942,9.195410558
zeta_happiness,2.343581282,0.045766085,51.20781705,0.037150555,63.08334443
sigma_happiness,0.597833126,0.00440506,135.7150867,0.010925648,54.71832372
